Data,Type,Source,English Translation,Category,100%,Annotation
Gome gori suno mile lok mowre dusnodo ,Comments,Facebook,"liaten to me carefully girls,don't blame me",women/girls,0,Not Bully
Hodani gom nwpass nhi tui tik hoda hor Ahju,Comments,Facebook,"don't you like his words, grandfather is telling the right things ",men + women,0,Not Bully
tui he hiber sas,Comments,Facebook,what do you want to say!,men + women,0,Not Bully
Hda gan dw tik aaga henduk bek melegun dw sedekan gri njan sul ere de mondirot,Comments,Facebook,You are telling right but not all of the girls go to the temple keeping their hair open,women/girls,0,Not Bully
Jan dw Jan,Comments,Facebook,yes they go,women/girls,0,Not Bully
Sotto hwda hwle monot pwre.. sere sere2 aaja aje dw,Comments,Facebook,I like when you speak the truth.. Sometimes I feel like laughing,men + women,10,Not Bully
Aju tik Hoda holo milie gun bes osikkoda songsarot,Comments,Facebook,grandfather is telling the right thing that the girls in this generation are careless,women/girls,10,Not Bully
i e sikke guri hos aarw,Comments,Facebook,why do you speak like that,men + women,10,Not Bully
bejar no pes bon,Comments,Facebook,don't be sad sister,women/girls,0,Not Bully
Taar hodani mui akkhayo dol nawpelung. Bana raw sarilo aro ojobha baaz holo ,Comments,Facebook,I didn't liked whatever he said..Only shouted and talked all trash,men/boys,30,Not Bully
dol hoda hole vei,Comments,Facebook,you said the right thing brother,men/boys,0,Not Bully
Ekkattey nw hanede bandoi,Comments,Facebook,"He did not cry for a while(a soft corner for someone is called ""bandoi"" in chakma)",men/boys,0,Not Bully
ede dol manje sikke golle poran hane do amonor,Comments,Facebook,my heart cries when a beautiful person does something like this,men + women,0,Not Bully
Gabujji,Comments,Facebook,young man,men/boys,0,Not Bully
mod hode nahi tumi,Comments,Facebook,do you guys drink alchohol,men + women,0,Not Bully
ami he ciani hedey nahi,Comments,Facebook,do we even drink those ,men + women,0,Not Bully
ode oi fureiyi gi gabur,Comments,Facebook,yes he has become a young man,men/boys,0,Not Bully
amare jw i fele,Comments,Facebook,you leave us here,men + women,0,Not Bully
matro bujilunggi bon. ekkan rana sej awlwde ebo,Comments,Facebook,I just sat down sister. Only cooked one dish yet,women/girls,0,Not Bully
icchu na somajje soho,Comments,Facebook,Do come with your friends,men + women,0,Not Bully
Thiyaghe hamakkai icchu de,Comments,Facebook,okay you must come,men + women,0,Not Bully
bes hengeda or,Comments,Facebook,you are becoming skinny,women/girls,20,Not Bully
tottun vag de,Comments,Facebook,share from you,women/girls,0,Not Bully
hoja ai hiju sale,Comments,Facebook,come and get some then,women/girls,0,Not Bully
to sulan ekkidoll,Comments,Facebook,why your hair is so beautiful,women/girls,0,Not Bully
Nakku dibar mone hor ,Comments,Facebook,I want to kiss you/ cuddle with you,women/girls,0,Not Bully
sordi dojsi mor ,Comments,Facebook,I got cold,men + women,0,Not Bully
Hakke do tade pelebe,Comments,Facebook,you will make us unconcious,women/girls,20,Not Bully
hoijon thade pollak hoj,Comments,Facebook,how many people got unconcious tell me,men/boys,10,Not Bully
hakke dali porim,Comments,Facebook,I will become unconcious after some time,men + women,10,Not Bully
Mela hei pebong,Comments,Facebook,we will get invited to eat in a wedding,men + women,0,Not Bully
ready agong da tw mela hebatte,Comments,Facebook,I am ready to eat in your wedding brother,men/boys,0,Not Bully
pokta o jhadi,Comments,Facebook,become fat fast,women/girls,0,Not Bully
Movie bo climax ot sogo pani icche ,Comments,Facebook,I got teared up in the climax of the movie,movie,0,Not Bully
muio obar sang ,Comments,Facebook,I also want to become ,men + women,0,Not Bully
Puro do nuo bow,Comments,Facebook,you look like a new bride,women/girls,0,Not Bully
Icche aro sem. Adikke guri sebar mone hor,Comments,Facebook,I will watch again today. I want to watch like this,movie,0,Not Bully
mor milebor character an eto gom lagee buddhhooo,Comments,Facebook,oh my god I liked the girl's character so much,movie,0,Not Bully
Mo somajjeun lungundi,Comments,Facebook,my friends have come (referring aliens as friends),men + women,10,Not Bully
Moh egun o nejagi bech sodan oiyon moh bed anot ghum jei dedon hon,Comments,Facebook,"take my ones (referring to dogs) too they have become naughty, they are sleeping in my bed",animals,10,Not Bully
Ghuo dola i sibe,Comments,Facebook,this is a piece of stool,all,60,Bully
summoi ja sei guo dolabu,Comments,Facebook,go smell that piece of stool,all,60,Bully
salen hudu muribar morlloi,Comments,Facebook,so die wherever you want to,men/boys,10,Not Bully
Adikke guri ibere puro mw dok dikkunge,Comments,Facebook,all of a sudden I saw her like me,women/girls,10,Not Bully
Vai mind nogurij goda tomma ETA dukkin,Comments,Facebook,brother please don't mind your mother looks just like her,women/girls,30,Not Bully
my souri,Comments,Facebook,my mother in law,women/girls,0,Not Bully
begeyibani,Comments,Facebook,unashamed,woman/girl,100,Bully
begeyibana,Comments,Facebook,unashamed,man/boy,100,Bully
ler mu,Comments,Facebook,face of shit,men/woman,100,Bully
bal mu,Comments,Facebook,face of vagina use as slang words,men/women,100,Bully
sett,Comments,Facebook,penis used as slang words,men/women,100,Bully
mang,Comments,Facebook,vagina used as slang words,men/women,100,Bully
ling,Comments,Facebook,urethra used as slang words,men/woman,100,Bully
sobashal ow hutti naga,Comments,Facebook,The crematory Hutti(water bottle made with soil used by chakma Indegeneous people) nose.,men/womwn,100,Bully
Cebeda nagi,Comments,Facebook,Flat nose  owner(used to look down with descrimination),woman,100,Bully
et ow mang,Comments,Facebook,vagina of elephent used as slang words,men/woman,100,Bully
radhagor,Comments,Facebook,One type of coffin use to carry dead body(indiegeneous people),men/women,100,Bully
ruboghor,Comments,Facebook,Where dead bodies are cremated(used by indiegeneous people),men/women,100,Bully
sumuring ghor,Comments,Facebook,The crematory decorated with bamboo(used by indiegeneous people),men/womwn,100,Bully
Talleng ghor,Comments,Facebook,"The crematory decoretd with different flower, birds(indeigeneous people)",men/women,100,Bully
Are egun de b'w adar,Comments,Facebook,Huh! They are meal of other people,women,90,Bully
debabu je dol,Comments,Facebook,The sky is beautiful,,30,Not Bully
ler nw hej,Comments,Facebook,Do not eat that shit,men/women,100,Bully
gabure jhuri jhuri porer,Comments,Facebook,Youth is flowing shamelessly,men/women,90,Bully
nudi tintalak,Comments,Facebook,shameless fashion,men/women,100,Bully
vul manuj,Comments,Facebook,fool,men/women,80,Bully
dingi shak huli,Comments,Facebook,The girl/women  who have curly hair,girl/women,50,Neutral
dingi shak hulo,Comments,Facebook,The boy/men who have curly hair,boy/men,50,Neutral
lungi majji belei coga,Comments,Facebook,The squinting eyes,men/women,80,Bully
guru bal chumme mu,Comments,Facebook,The face who have smelled the vagina of a cow,men/women,100,Bully
cibe coga,Comments,Facebook,The owner of small eye,men/women,90,Bully
cibe bali,Comments,Facebook,rough vagina use as slang,girl/women,100,Bully
benga mu,Comments,Facebook,wry face,men/women,90,Bully
gabala mu,Comments,Facebook,tub face,men/women,90,Bully
besse mili,Comments,Facebook,slut,girl/women,100,Bully
ton tonatte nahi,Comments,Facebook,taunting ,men/women,90,Bully
chana,Comments,Facebook,dinind table made with bamboo(use by indiegeneous people),men/women,10,Not Bully
badi ,Comments,Facebook,short,men/women,60,Bully
dheng,Comments,Facebook,naughty,men/women,70,Bully
olonsal,Comments,Facebook,stove made by soil,men/women,20,Not Bully
hugebu dheng,Comments,Facebook,the dog is naughty,men/women,50,Neutral
nudi hirik harak,Comments,Facebook,fashion that society can't accept it,men/women,90,Bully
bari dw ruji porer,Comments,Facebook,happiness that can't endure by others,men/women,100,Bully
uju pode nw jene benga pode,Comments,Facebook,use curve way when there exist direct way  ,men/women,40,Not Bully
tore cit purelloi,Comments,Facebook,miss you,men/women,20,Not Bully
mujuge dinun dol obak,Comments,conversation,future days will be bright,men/women,10,Not Bully
ma suda bu,Comments,Facebook,mother fucker,men/boy,100,Bully
mw mangan hej,Comments,conversation,eat my vagina,men/women,100,Bully
donga ojorer,Comments,Facebook,insult,men/women,80,Bully
edu nw murij hudu muribi molloi,Comments,conversation,Don't die here rather go outside die there,men/women,90,Bully
laj thele nw ej ar,Comments,conversation,If you have honour don't agin come here,men/women,80,Bully
nw ej ar edu,Comments,conversation,don't ever come here again,men/women,50,Neutral
Jagoi hundi coge por degoj,Comments,conversation,Get lost from here,men/women,50,Neutral
malloi ja,Comments,conversation,go to hell,men/women,100,Bully
nudi nw galij,Comments,Facebook,don't talk those shit's,men/women,90,Bully
ullagoi ja sindi,Comments,Facebook,go to doom,men/women,90,Bully
sobashalot jagoi,Comments,Facebook,go to grave,men/women,90,Bully
ullo  nw gurij,Comments,Facebook,Don't be silly,men/women,90,Bully
ekka bej hoda nw hoj,Comments,Facebook,Don't talk to much,men/women,60,Bully
ekka na u nwparim,Comments,Facebook,I can't do it at all,men/women,50,Neutral
murimboi mui,Comments,conversation,I will die,men/women,50,Neutral
edokki vajchara,Comments,conversation,chucklehead,men/women,60,Bully
 ossot mili ena!,Comments,Facebook,savage lady,girl/women,90,Bully
ossot morod,Comments,Facebook,savage men,boy/men,100,Bully
ekka dung sale ebire,Comments,conversation,I am disciplinig him,men/women,90,Bully
Donga ojorette siber,Comments,Facebook,That's to much,men/women,80,Bully
ekka motto te,Comments,Facebook,If he were to die,men/women,100,Bully
bej harabari nw galij,Comments,Facebook,Do not try to act to much,men/women,90,Bully
bejhabodari nw sedej,Comments,Facebook,Do not try to much wise,men/women,80,Bully
bej nw sedej,Comments,Facebook,Don't be too proud,men/women,60,Bully
ekka accident oi ne motte,Comments,Facebook,If he/she died in an accident,men/women,80,Bully
huguro sw bu,Comments,Facebook,bastard dog,men/women,100,Bully
suguro sw bu,Comments,Facebook,bastard pigs,men/women,100,Bully
se bissiri cegaragan ekka more nw degessi ar,Comments,Facebook,don't ever come here to show your beastly face,men/women,100,Bully
hugurottun bej oddorom,Comments,Facebook,Dog wil be wiser than you,men/women,100,Bully
sugurottun bej oddorom,Comments,Facebook,Pig will be wiser than you,men/women,100,Bully
He ehok duk dotte ,Comments,Facebook,why you giving this pain to me,men/women,40,Not Bully
Mor baji thebar hono issa nei ar,Comments,Facebook,I don't want to alive anymore,men/women,30,Not Bully
Jibonanot ogoman sara ar he age,Comments,Facebook,In this life there is no  more except insulting,men/women,50,Neutral
Nw parongor ar mui,Comments,Facebook,I can't take it anymore,men/women,40,Not Bully
Edokki dog nei hobare ta cegeragan,Comments,Facebook,why do you look so ugly,men/women,90,Bully
Tui edokki hala,Comments,Facebook,Why do you look so black,men/women,100,Bully
Tui bej pokta,Comments,Facebook,You are so fat,men/women,100,Bully
Tui bej hengeda,Comments,Facebook,You are so thin,men/women,80,Bully
Tuibej badi,Comments,Facebook,You are to short,men/women,90,Bully
Ekkere liliput ow dokki,Comments,Facebook,You are to short like a liliput,men/women,100,Bully
bakkon/badimili,Comments,Facebook,Short women/girl,girl/women,80,Bully
badi/bakkon morod,Comments,Facebook,short men/boy,boy/men,80,Bully
ladit badi banem,Comments,Facebook,I will make you short with a kick,men/women,90,Bully
huguro sw bu re ekka dhago ar bangi dung,Comments,Facebook,I will break your spinal cord with a kick bastard of dog ,men/women,100,Bully
mogoda bu re ekka felang saale,Comments,Facebook,"you dead man , I will kill you",men/women,100,Bully
sugor bu re aarun bangi dung,Comments,Facebook,I will break your bones you bastard of pig ,men/women,100,Bully
Zargo,Comments,Facebook,bastard,men/women,100,Bully
Sedam thele ei sa ,Comments,Facebook,Come forward if you dare,men/women,100,Bully
"sedam nei ekkana, midi guli bhat hana",Comments,Facebook,Don't have any courge neverthless you are trying to confront me!,men/women,90,Bully
sedamsara hode ar,Comments,Facebook,You have no guts,men/women,80,Bully
medera nw hej,Comments,Facebook,Don't try to eat that bullshit,men/women,100,Bully
ler nw hej,Comments,Facebook,Don't talk about that shit,men/women,100,Bully
totte murile u sukh nw pem,Comments,Facebook,"Even if I die for you, I will not find peace",men/women,80,Bully
tomatte molle u sukh pedung noi,Comments,Facebook,"Even if I die for all of you, I will not find peace",men/women,90,Bully
mallengpagana,Comments,Facebook,bohemian,men/women,70,Bully
har shap pujji hijeni jibonot,Comments,Facebook,who cursed in life?,men/women,50,Neutral
nitto benga benga hoda,Comments,Facebook,always try to rough behave with me,men/women,50,Neutral
E mogodi re ekka hang saale,Comments,Facebook,I will kill you dead woman,girl/women,100,Bully
E mogodabu je ullo ullo hoda hoi di,Comments,Facebook,This dead man yet try to talk these opposite bullshit,men/women,100,Bully
E mogoda mu re ekkana mallengpana habe dung,Comments,Facebook,I will finish you dead man ,men/women,100,Bully
bej ekka pede pede nw guris,Comments,Facebook,don't talk these meaningless words,men/women,70,Bully
more doraj ni tui ene,Comments,Facebook,Aren't you afraid of me?,men/women,80,Bully
more jogar nw parij,Comments,Facebook,Don't shouted on me,men/women,90,Bully
Bej pejal nw guris,Comments,Facebook,Don't mess around,men/women,50,Neutral
Ejo nojajjoi tui,Comments,Facebook,You haven't gone yet,men/women,50,Neutral
Pagol nw galis,Comments,Facebook,Don't behave like a mad,men/women,70,Bully
Mui tore bij degong,Comments,Facebook,I hate you,men/women,80,Bully
Bekkani tottei uyede,Comments,Facebook,Everything happen because of you,men/women,70,Bully
Akkol harap nw guris,Comments,Facebook,Don't behave characterless,men/women,50,Neutral
Ekkana u gom nw lager,Comments,Facebook,I don't feel good,men/women,30,Not Bully
Nw them ar mui,Comments,Facebook,I don't stay here,men/women,50,Neutral
Gom nw lager ar mor hissu,Comments,Facebook,I don't feel like anything,men/women,30,Not Bully
Ta loge thele tui ow bojong obe,Comments,Facebook,"If you stay with him, you will become bad too",men/women,50,Neutral
Goda gorbu bu hujuro,Comments,Facebook,The entire family is evil,men/women,80,Bully
Bekkunore olozolo banei thoiung,Comments,Facebook,It keeps confuse everyone,men/women,50,Neutral
Tore mui cuguremme,Comments,Facebook,I will slap you,men/women,80,Bully
Chulot dhori cejeremme,Comments,Facebook,I will drag you by the hair,men/women,70,Bully
Ajeremme hobor paj na nwpaj,Comments,Facebook,I'll throw you up into the void,men/women,60,Bully
Ebi hidikki mili,Comments,Facebook,What type of girl she is!,girl/women,70,Bully
Ebi hidikkki morod,Comments,Facebook,What type of boy he is!,boy/men,70,Bully
Ene bej nw gurij,Comments,Facebook,Don't cross over your limit,men/women,80,Bully
Hakke lage dim e,Comments,Facebook,I will pusnish you ,men/women,80,Bully
Debeda dokki nw gurij,Comments,Facebook,Don't behave like an evil,men/women,70,Bully
Maramari nw gujju,Comments,Facebook,Don't fight,men/women,40,Not Bully
Gel nw dij,Comments,Facebook,Don't be abusive,men/women,50,Neutral
Aattan bangi dim,Comments,Facebook,I will break your hand,men/women,70,Bully
Thengan bangi dim,Comments,Facebook,I will break your leg,men/women,70,Bully
Bekkuni milinei maro,Comments,Facebook,"Everyone, let this kill together",men/women,80,Bully
Mui edokki aahoballe,Comments,Facebook,I am so unlucky,men/women,50,Neutral
Ekloge thebong bekkune,Comments,Facebook,We will stay together,men/women,40,Not Bully
tare mui biz habene  mare felembe,Comments,Facebook,I will kill him by poisoning him,men/women,80,Bully
Mugurot cundul banem,Comments,Facebook,I will kill with a stick,men/women,80,Bully
Chobasalot murguji thakkoi,Comments,Facebook,Hide your face in the graveyard,men/women,90,Bully
Pididne chamra tuli dim,Comments,Facebook,I will take off the skin of the back by beating,men/women,100,Bully
Ojoba nw hoj,Comments,Facebook,Don't use foul language,men/women,50,Neutral
Tare thili dine fele de,Comments,Facebook,Knock him down,men/women,80,Bully
Hundi jem aja nw pangor,Comments,Facebook,"Where to go through, can't see any hope",men/women,40,Not Bully
Aa hoda ekka mottung,Comments,Facebook,Alas! I wish I could die,men/women,30,Not Bully
Ar hono suk nei ar jibonot,Comments,Facebook,There is no   happiness in life,men/women,40,Not Bully
Aa etara dokani awi sidikki,Comments,Facebook,Their faces looks so ugly,girl/women,80,Bully
Mui honodin buji nw parong mw jibanan edikke obode,Comments,Facebook,I never thought that my life will be ruin,men/women,50,Neutral
Gome thakke thakke beg sej oi gelo,Comments,Facebook,It was ruined while being good,men/women,50,Neutral
Bekkani amono bhagot,Comments,Facebook,All the blame will fall on me,men/women,40,Not Bully
Edokki hadahatti pottan,Comments,Facebook,The road is very narrow,men/women,30,Not Bully
lare lare guri jej,Comments,Facebook,go slowly,men/women,30,Not Bully
borjono hoda sunno,Comments,Facebook,Elders should be obeyed,men/women,40,Not Bully
Bej sodan nw gojjo,Comments,Facebook,Don't do too much mischief,men/women,30,Not Bully
Bekkanit sudom age,Comments,Facebook,Everything has its own rules,men/women,0,Not Bully
Ridi-sudom mani chullu bekkune,Comments,Facebook,Everyone will obey the rules and regulation,men/women,0,Not Bully
Mono ugure bera jem,Comments,Facebook,I will go for a walk on the mountain,men/women,0,Not Bully
Hatton ot jebong,Comments,Facebook,We will cut wood,men/women,0,Not Bully
Ton toga jebong ,Comments,Facebook,we will go to collect vegetables,men/women,0,Not Bully
Jebar sele jagoi,Comments,Facebook,"If you want to go,  may go",men/women,0,Not Bully
Suge puno hana nadajatte,Comments,Facebook,To feel ill at ease,men/women,50,Neutral
Nw parim ar mui,Comments,Facebook,I can't do it anymore,men/women,0,Not Bully
Jibonot dugor sej nei ar,Comments,Facebook,There is no more happiness in life,men/women,0,Not Bully
Hugur bu dol,Comments,Facebook,The dog looks beautiful,men/women,10,
Fele essi dinun dugor,Comments,Facebook,The days that are left are beautiful,men/women,0,Not Bully
Mono ghorot sugor din,Comments,Facebook,Happy days in the mountain house,men/women,0,Not Bully
Hugur ow dok nw bugij,Comments,Facebook,Don't bark like a dog,men/women,60,Bully
Fugudi hanandi por dekkussi,Comments,Facebook,Don't bring danger,men/women,20,Not Bully
Je pode essuj se pode jagoi,Comments,Facebook,Go back the way you came,men/women,30,Not Bully
Ah he guribar age,Comments,Facebook,What else is there to do?,men/women,30,Not Bully
Dukh bade he sukh agede nahi,Comments,Facebook,There is no happiness except sorrow,men/women,30,Not Bully
Tui siani hole edu nw ej ar,Comments,Facebook,"If you talk about that shit, never come here",men/women,40,Not Bully
Tar osuk oye,Comments,Facebook,she is sick,men/women,0,Not Bully
"Nw ole nei, he guribar age",Comments,Facebook,"If it doesnot work , what can I do?",men/women,0,Not Bully
Pekku gassot ba gosside,Comments,Facebook,The bird nested in the tree,men/women,0,Not Bully
More monot nei tor?,Comments,Facebook,Didn't you remember me?,men/women,0,Not Bully
Aju dai du bera jem,Comments,Facebook,I will visit my grandfather's home,men/women,0,Not Bully
Mui tore hoj pang,Comments,Facebook,I love you,men/women,0,Not Bully
More honodin puri nw felwssoi,Comments,Facebook,Never forget me,men/women,0,Not Bully
Dinputte ta mokkure mare,Comments,Facebook,Evereyday he beats his wife,men/women,50,Neutral
Tore mottun mare fele palle te shanti lagibu de,Comments,Facebook,"If I can kill you, I will have peace",men/women,80,Bully
Tui molle ene vari huji om,Comments,Facebook,I will be very happy if you die,men/women,70,Bully
Belan pukendi ude,Comments,Facebook,The sun rise in the east,nature,0,Not Bully
Chanan dubbe goi,Comments,Facebook,The moon has set,nature,0,Not Bully
Hummot gori pani animmoi,Comments,Facebook,I will bring water in a pitcher,men/women,0,Not Bully
Andaje jianpai nw hoj,Comments,Facebook,Don't talk that nonsense because you know nothing,men/women,50,Neutral
Hodok ar duk pede,Comments,Facebbok ,how much sorrow will you get,men/women,20,Not Bully
mada liye dim,Comments,Facebook,I will finish you,men/women,100,Bully
Mujungot jian pore sian dangor,Comments,Facebook,There are problem everywhere but what we face is what matters,men/women,20,Not Bully
Andaje jogar nw parij,Comments,Facebook,Don't screaming on me as you know nothing,men/women,50,Neutral
Tw pod tui dhor,Comments,Facebbook,Choose your own way,men/women,50,Neutral
Ama aaojor dinun firi ettog,Comments,Facebook,Come back our beautiful days,men/women,0,Not Bully
Gabujje dinun dol,Comments,Facbook,Young days are beautiful,men/women,0,Not Bully
Mw hodagan age sun,Comments,Facebook,First listen to my words,men/women,10,Not Bully
Gome thei janili thak nw thele jagoi,Comments,Facebook,If you can then stay peacefully otherwise leave,men/women,50,Neutral
Mw hoda nw sunili bipodod puribi,Comments,Facebook,You will be in danger if you don't listen to me,men/women,50,Neutral
Cokkunot he ler pujje nahi,Comments,Facebook, Has dirt accumulated in the eyes?,men/women,50,Neutral
"cokkun haan oiun tor,senette nw dejji",Comments,Facebook,Both eyes were blinded so you  could not see,men/women,90,Bully
Ete gomedale hole ekkere ne bujede,Comments,Facebook,"I'm telling you well, you're not listening",men/women,50,Neutral
Mw jogar bu bajje thai di ai,Comments,Facebook,He always wait for my shouting to do the work,men/women,60,Bully
Mije hoda nw hoj,Comments,Facebook,Don't tell a lie,men/women,40,Not Bully
Andaje hoda nw hoj,Comments,Facebook,Don't speak without knowing,men/women,30,Not Bully
Hissu dw nw bujoj,Comments,Facebook,You don't know anything,men/women,20,Not Bully
Harbari nw galiz,Comments,Facebook,Don't behave scholarly,men/women,50,Neutral
Bari dw begayi oyi,Comments,Facebook,Don't do bad things,men/women,50,Neutral
Rekkhoji,Comments,Facebook,A witch,men/women,70,Bully
Goda gorbo bure sej gollo,Comments,Facebook,Destroyed the entire family,men/women,60,Bully
