Data,Type,Source,English Translation,Category,100%,Annotation
পাপ সেন হেদক্কি? তে যে ভান্তেবু গা বাজে দি সে ভানতেবুর হি অব?,Comments,Facebook,what is sin? What will happen to the monk whose body is touched?,religion,0,Not Bully
মগদার পাগল ন চিন্যে চাঙমা,Comments,Facebook,dead person does not know mad people,all,50,Neutral
নিজোত্তুন ন থেলে পরত্তুন হি আজা?,Posts,Facebook,if one does not have is own then what to expect from others?,all,0,Not Bully
ঘটনা গান হি?,Comments,Facebook,what is the situation?,religion,0,Not Bully
"এক্কা উক্কো জ্ঞান ভাগ দিও আমারে, আমিও তোমা দক্কি ধর্ম পদত এ পারি পারা",Comments,Facebook,"share some knowledge with us,so that we can also follow the religious path",religion,0,Not Bully
আহ বাগান সহ দান গত্তাক দ্ব বেজ গম অলুন,Comments,Facebook,if they donated with the garden then that would have been great,religion,0,Not Bully
হিনি ফেলা এক্কান,Comments,Facebook,buy one of these,product,0,Not Bully
"এ ফল উন মাগানা হাগোই হলে ও ন হেম,",Comments,Facebook,if someone gives me these fruits for free even then I will not eat them,product,20,Not Bully
জিনা দি সুগে থেচ্চোই,Posts,Facebook,Rest in peace sister Jina,women/girls,0,Not Bully
উচ্চো গরে পারা.মরও এধরনর ব্যাপকভাবে বিভিন্ন ফলমূল বাগান গুরিবার আজা আগে।,Posts,Facebook,This is really fascinating. I also wish for cultivating different types of fruits in my garden.,product,0,Not Bully
অদে সেক্কে ভাত হম হেম,Comments,Facebook,yes then I'll eat less rice,product,0,Not Bully
সমাজ্জে মেলাত আমিও ইয়ান্নে গুরিবোঙ্গে,Posts,Facebook,we shall do like this in our friend's wedding,men + women,0,Not Bully
কবি নাহি এলেদে,Comments,Facebook,were you a poet,men/boys,0,Not Bully
হায়রে মানেই জিংহানি! এচ্চে আগিই হেল্যে নেই।,Posts,Facebook,"Alas for human life! It's today,there might not be tomorrow",all,0,Not Bully
আসলে ইয়ানি দেগিলে মনে অয়দে এই মানেই জিংহানি আন হিচ্ছু নয়,Posts,Facebook,In fact when we see them it seems like there is nothing in human life,all,0,Not Bully
গমে সানা এক্কা সেইম টু সেইম,Comments,Facebook,look carefully they look same to same,men/boys,20,Not Bully
দোল হদা,Comments,Facebook,good talk,all,0,Not Bully
 বিশ্বেস ন যাং,Comments,Facebook,I do not believe this,all,0,Not Bully
সেটেলার মিলেউন বাদা পেবাক্কে আই বানা,Comments,Facebook,Only the setteler women/girls will get the chance,women/girls,50,Neutral
ভেই বংশ শেষ গরলে দে আই।মিলে বাঙাল ললেও মানি ন পারং এবং মরদে ললেও মানি ন পারং,Comments,Facebook,brother you have ended the lineage. I cannot tolerate whether you marry a bengali guy or a bengali women.,men/boys,50,Neutral
মগদাগুনে বারি দোল মিলেগুন্দ লয়োন্দে।,Comments,Facebook,the dead people have married very beautiful women,men/boys,50,Neutral
দকনেই মিলি বানা লোই পারন্নে আমা চাকমাগুন,Comments,Facebook,our chakma men can only marry ugly women,men/boys,20,Not Bully
এবতে হবর পদে দে,Comments,Facebook,You are knowing this now,all,20,Not Bully
সারাজনম্মু এনদোক্কি গরি এত্তন এচ্চি হেল্লে নয়.হলে নিজোর ক্ষতি ওয়,Comments,Facebook,They have been doing this the whole life not these days. It would be harmful for me if I say so,all,0,Not Bully
তারার সুগ ন অব আর,Comments,Facebook,they will not find happiness,community,50,Neutral
মর হুব পছন্দের ইককো চাংমা গীত,Posts,Facebook,One of my favourite chakma songs,community,0,Not Bully
"আগাজোর বেল আগাজর চান,বেক আগে এজ আগো দোক্কে",Posts,Facebook,the time of the sky and the mmon in the sky are same as before,all,0,Not Bully
"অহক হদা হইয়ে,ইক্কুত্তুন ইক্কু মুর্খ ঠাগুর",Comments,Facebook,He has said the right thing. Most of them are fools,religion,100,Bully
তে মাধা উগুরে সেম্মা কি পধ অারও ,Comments,Facebook,why is there a long road above your head,women/girls,20,Not Bully
ব্রো হনো সেগা হেলে নাহি,Comments,Facebook,bro did you get rejected?,men/boys,10,Not Bully
হাংগিসুদি সাম্মুউল হেয়ে কেনে চলর,Comments,Facebook,how are you doing bitch,women/girls,100,Bully
দানর সময় ইচ্জে আই,Comments,Facebook,It is time for donation,women/girls,100,Bully
ত বেলেবু তরে হমলে সুদি যায় তুই উ হবর নপেবে,Comments,Facebook,you won't even know your  cat fucked you,women/girls,100,Bully
সিদোল আন পজা বাজ পেয়ি নাহি?,Comments,Facebook,did the fish paste smell bad to her?,women/girls,100,Bully
আহ বেলেই বু হি সুদুমু?,Comments,Facebook,why does the cat looks sad?,animal,0,Not Bully
আল্লা জানে হত্তমান পজসি হিজিনি,Comments,Facebook,God knows how much it has rotten,women/girls,100,Bully
ম লগে ফিল্ডত যেজ মাছ শামুক হাঙারা হেই পারিবে ইচ্ছে মতো,Comments,Facebook,follow me to the field you can eat fish snail crabs to your hearts content,men/boys,0,Not Bully
যেনে চেই ন আরঙঅর।যে সোওদ অব  ,Comments,Facebook,"I can not even look at it, it looks delicious",food,0,Not Bully
"আচ্ছা..ত চোক্কুন হি এদক তেবত তেবত,যানে দ মাদা ঘুড়ায়। চোখ পিড়ে দোচ্ছে নাহি ",Comments,Facebook,"why do you blink your eyes too often, it makes me dizzy. Did you get eye disease",men/boys,50,Neutral
চক্ষুন হিত্তে সেয়ান‍্য গরে হবারে,Comments,Facebook,why does he  do to his eyes like this I wonder,men/boys,50,Neutral
আগে ধরি ছড়ানত শামুককুন ইরি দি এচ্ছোসসোই অবল তে শামুক ধরত্তে অবদে,Comments,Facebook,you might have put those snails in the lake before that you are now catching,men/boys,0,Not Bully
আচ্ছা দা তর ভিডিও গুণ দ বারি মজা লাগে,Comments,Facebook,brother I fing your videos so amusing,men/boys,0,Not Bully
"মুই এক্কা গুরি সেবার সাং তুই এক কেজি মুরিচ হে দেগেছ দে দা,",Comments,Facebook,I want to see you eat 1 kilo spice,men/boys,0,Not Bully
ভেই দোল ওইয়ে,Comments,Facebook,this looks nice brother,men/boys,0,Not Bully
"অয় দিবাক রিপোর্ট মারি,চেই চেই ভিউ বাড়ে দন্নে আরো ",Comments,Facebook,They will not report the id moreover they will increase the views by watching it more and more,women/girls,0,Not Bully
সুযোগর অভাবে বেক্কুন গম আমি,Comments,Facebook,we are all good due to lack of chance,women/girls,0,Not Bully
 দোল দেগচ্ছি হয়ে নেই অবল ,Comments,Facebook,you liked me everyone says it,men/boys,0,Not Bully
জদে বদে সোদ অব,Comments,Facebook,this would be very tasty,food,0,Not Bully
যা পাপো হামানি গরড় আই,Comments,Facebook,you have been doing great sin,men/boys,50,Neutral
এঝ দ্ব শীতকাল ন এজে...হুত্তুন সুক পেলে,Comments,Facebook,it is not winter yet..where did you get those,food,0,Not Bully
জিবনত আর মোক লোই নপারিবে সেক্কে,Comments,Facebook,you can never find a wife,men/boys,50,Neutral
ভাই তুই বৌ ন পেবে,Comments,Facebook,brother you will not get a wife,men/boys,50,Neutral
"পাগারালোই পিঁয়াজ হুদোস তরে হন্না লব, গিন গরে পারা",Comments,Facebook,"you cut onions with saw who will marry you, you are disgusting",men/boys,50,Neutral
"তুই এ পাপী নয়,বানা প্রাণী হত্যা গরচ্ছি",Comments,Facebook,"you are very sinful,you only kill animals",men/boys,50,Neutral
বেজ গরের,Posts,Facebook,She is doing excessive,women/girls,50,Neutral
ইয়ুন দ বেক্কুন জগতগুরু বুদ্ধোবুর শিষ‍্য,Comments,Facebook,these are the disciple of the world guru Buddha,religion,100,Bully
হুত্তুর বাচ্চা একশ বার হম্বে হি গুরিবিদে,Comments,Facebook,"you son of a bitch, I will tell you this 100 time",men/boys,100,Bully
লের হিয়ে মুয়ি দক্কান সানা থার,Comments,Facebook,She looks like eating semen,women/Girls,100,Bully
হুত্তরবাচ্চুনি মের ন হেলেও হেবার,Comments,Facebook,I feel like beating you,women/ Girls,100,Bully
যেনে থা থেংআন লেগে দেগই,Comments,Facebook,Go and lick his/her feet,both,100,Bully
আম বড়া সুচ্চে মো,Comments,Facebook,Looks like a mango seed sucker,both,100,Bully
এঙেলা হুগুরবো মানুচ সিনোচ,Comments,Facebook,"You son of bitch, do you know people",Men/Boys,100,Bully
মগদাবি বেচ উরর,Comments,facebook,You dead women!You fly too much,women/ girls,100,Bully
এইনা ডক নেইদে মু,Comments,Facebook,What a strange face he has!,women/girls,100,Bully
সামনে এ সেছ ঠেং ভাঙি দিম,Comments,facebook,Come forward and see I will break your leg,both,100,Bully
টেঙার গরম দেগত্তে!,Comments,Facebook,Showing money power!,both,100,Bully
ফাত্তে বাজো মেইর হেবে,Comments,Facebook,I will beat you with a split bamboo,both,100,Bully
লাজ শরম এনে আগেনি থর!,Comments,Facebook,Do you have any shame!,both,100,Bully
থ দক বেঙিয়েসুদি জীবনত নদেগং,Comments,Facebook,I have never seen you as naughty,women/girls,100,Bully
গদনা সিবি দিম,Comments,Facebook,I will choke you,both,100,Bully
এক্কু লাদিত উল্লে দিম তরে,Comments,Facebook,I will blow you away with one kick,both,90,Bully
বেচ ন সেদেচ,Comments,Facebook,Don't be too proud,both,50,Neutral
লের হেবাত্তে তগত্তে!,Comments,Facebook,Looking for semen to eat,both,100,Bully
উরি লত্তে সি উবালা যেবাত্তে,Comments,Facebook,Fly to die,both,70,Bully
সিগুন মরিজোর ঝাল বেচ,Comments,Facebook,Small pepper flakes are more spicy(here pepper is compared with women),women/girls,70,Bully
থত্তে আমা জাদর ইজ্জত যাল্লই,Comments,Facebook,Our society is getting worse because of you,both,100,Bully
মগদাবি এক রেদত্তে হয় টেঙা লবে!,Comments,Facebook,how much would you charge for one night stand,women/ Girls,100,Bully
আগি ন ফাজ্জি হুগুরো র,Posts,Facebook,Barking like a street dog,both,100,Bully
থুই দ গম মিলে নয়,Comments,Facebook,you are not a good girl,women/ girls,50,Neutral
মগদা মুই লক্কন আইয়ে সেদুক্কে আক্কল হারাপ,Comments,Facebook,You dead women! Why is your character so bad!,women/ girs,100,Bully
গু হা মগদাবু,Comments,Facebook,You dead guy! Eat my stool,men/ boys,100,Bully
গমে থেলে থাক ন অলে মগদা বানেম,Comments,Facebook,Be good or I will kill you,both,100,Bully
মাসোদা এক্কু হেনজান ফর,Comments,Facebook,how are feeling now motherfucker,men/boys,100,Bully
ইঙিলি হুগুরো দক সানা,Comments,Facebook,Looks like a mad dog,both,100,Bully
ইম্বা হি ফুন থর!,Comments,Facebook,You have such a big ass,women /girls,100,Bully
সোদা হেলে থে বুজিবে আই,Comments,Facebook,"If you are raped, then you will understand",women/girls,100,Bully
বেচ হাচ্চুনি উত্তেদে থর! আই বরে দং মাগীবো,Comments,Facebook,Are you itching more! Let me enter,women/girls,100,Bully
মাসুদাবো লের হা,Comments,Facebook,"Motherfucker, eat samen",men/boys,100,Bully
বাবসুদি বেচ উরর সি,Comments,Facebook,"Father fucker, you fly too much",women/girs,100,Bully
এক্কি অজবা হদা হচ তুই,Comments,Facebook,Why do you talk so badly?,both,100,Bully
নাকদারা ভাঙি দিলে থে সিনিবে মরে মুই হন্না,Comments,Facebook,If i break your nose bone then understand me who am i!,both,100,Bully
থরে হন বান্দর দক লাগের,Comments,Facebook,you look like a monkey,both,100,Bully
বেক্কুনে মিলি ভরে দিলে থে হবর পেবে,Comments,Facebook,If everyone rapes you then you will understand,women/girls,100,Bully
থ বুগ মালানি সেম্বা হি দাঙর,Comments,Facebook,Why your breasts are so big?,women/girls,100,Bully
মাল্লোরে হেবার উজো ইল অবদে,Comments,Facebook,It will be fun to fuck her,women/girls,100,Bully
মাগি মিলে দক হন তা চেঙআরাআন,Comments,Facebook,You look like a prostitute,women/girls,100,Bully
মাগিগিরি গরল্লোইদে নাহি সিদো,Comments,Facebook,Do you go there for prostitution?,women/girls,100,Bully
সুগরত দাত ফেলে দিম সি,Comments,Facebook,I will knock out the teeth with a slap,both,100,Bully
বেচ দেগেবার ফরানে মাগের ফারাবাং তর,Comments,Facebook,You have a tendency to show off more,both,100,Bully
থুম্মারে সুদং মাসুদাবো,Comments,Facebook,fuck your mom motherfucker,men/boys,100,Bully
সেদলের হা মাসুদা,Comments,Facebook,Eat semen motherfucker,men/boys,100,Bully
বাল দ বেছ ওজার ওইয়ে ফারাবাং!,Comments,Facebook,Looks like your pussy is getting bigger,women/girls,100,Bully
উরি লত্তে সি বেজ দেরি নেই ওবলা আদাম যেবার,Comments,facebook,grows its wings on a dying bed,both,100,Bully
থরে ফেলে ইল অয় সং ভরে দিম,Comments,Facebook,I will fuck with satisfaction if I get you,women/girls,100,Bully
সিবে থম্মা নেক্কু এক্কো থরে হার,Comments,Facebook,This is your mother's husband. eating you now,Women/girls,100,Bully
ইবেরে হেলেগই থে গম অবদে সি,Comments,Facebook,It would be nice to eat her,women/girls,100,Bully
মর মনে অয় এবো গম সেট ডুগে নফাস থ মুগত,Comments,Facebook,i think still you didn't got nice dig in your mouth KS,women/girls,100,Bully
আস্তা ফাগল মিলে হাঙগি দক,Comments,Facebook,Look like a crazy prostitute,women/girls,100,Bully
মাদা হে ফারিম ইবেরে ফেলে,Comments,Facebook,I can kill him if I get close,Both,100,Bully
থুই দ গম মিলে নই দক্কানো মাগী দক,Comments,Facebook,"You are not a good girl, look like a prostitute",women/girls,100,Bully
মগদা বেঙিয়ে সুদি ন লাজাচ,Comments,Facebook,Prostitute girl! have some shame,women/girls,100,Bully
রেত্তু সোদা হেলে থে বুজিবে!,Comments,Facebook,If you are raped all night then you will understand,women/girls,100,Bully
"দোলে বোরেজ,পিরে পেবে সি",Comments,Facebook,"If you don't insert it well, it will hurt",women/girls,100,Bully
লের হা এঙেলা হুগুর,Comments,Facebook,Eat semen bloody dog,men/boys,100,Bully
মগদা মুই লক্কন আইয়ে সেদুক্কে আক্কল হারাপ,Comments,Facebook,Why is your behavior so bad you bitch?,women/girls,100,Bully
ব্যাঙ পাল্লানি নাচ চেবাত্তে রেডি থেজ শালেন দা,Comments,Facebook,Wait for the worst dance performance brother,men/boys,50,Neutral
আর্জেন্টিনা জিনিলে বিরিয়ানি হেই পায়,Posts,Facebook,Got the biriyani because Argentina won,food,0,Not Bully
যে বর মাগে সে বর পায়!!!,Posts,Facebook,the one who prays to God gets it,all,0,Not Bully
যা উইয়ে উইয়ে!!! সত্যি গুরি হঙর মুই মনে প্রাণে বিরিয়ানি হেবার চাঙ,Posts,Facebook,let by gones be by gones. I am telling the truth that I want to eat biriyani,food,0,Not Bully
কুফা দুচ্ছে ন অব আর ঘুমত বলে পরত্তে ,Comments,Facebook,You are very unlucky talking shit in sleep,women/girls,60,Bully
অদে এক্কে শেজ মরার,Comments,Facebook,I am done dead,women/girls,50,Neutral
আজের অবল,Comments,Facebook,maybe he is laughing on you,both,50,Neutral
সিয়ান নয় মকত রেফারিবো চোক্কুন লের পজ্জে নাহি?,Comments,Facebook,Has the motherfucker referee put samen in his eyes?,men/boys,100,Bully
রেফারিবো নামান থোগা আমা হগুরবোরে নাম থোয় দিদুন মালে মকত,Comments,Facebook,I will name my dog by this motherfucker referee,men/boys,100,Bully
ত হুগুরবু নাঙান রেজিষ্ট্রেশন গড়ি দেগোই,Comments,Facebook,Register your dog's name,animal,50,Neutral
ইগুনরে শালুক হনদে।,Posts,Facebook,these are called shaluk in chakma,food,0,Not Bully
পজাবালি ত হালা হবায়ি দঅ পুনমারি পেলে জিয়িগোই।আরো হয়েক্কু দিন দ আজিপুজি হেই দি পারলিন মাংসের বিনিময়ে,Comments,Facebook,"you bitch your bengali boyfriend has left you, you could at least eat something from him in exchange of your flesh",women/girls,100,Bully
সুদা হেওচি অ মগদা বাংগালো তুন তুই,Comments,Facebook,did you get fucked from the bengali guys you bitch,women/girls,100,Bully
তে ন মরজ এজ,Comments,Facebook,haven't to died yet,women/girls,60,Bully
"বাঙাল্লো হেই দেই ছাড়ি দিয়ে নাহি""""""""""",Comments,Facebook,Did the bengali guy left you after fucking,women/girls,100,Bully
তর বিউটি স্পট তো দোল আগে,Comments,Facebook,your beauty spot is nice,women/girls,50,Neutral
অদে ঠিক হয়োজ,Comments,Facebook,yes you are right,women/girls,0,Not Bully
এবার লক্ষি অয়ুং ,Comments,Facebook,now I have bocome calm,women/girls,0,Not Bully
অয় দ এক শিষ্য অবাদে ,Comments,Facebook,yes you both are same,women/girls,60,Bully
"আচ্ছা মামিয়া ত নেকো ত বালান চুজি দে না নো দে,",Comments,Facebook,did you husband suck your samen or not,women/girls,100,Bully
এচ্ছি মেকআপ নগরজ,Comments,Facebook,did you not use makeup today,women/girls,50,Neutral
ও মগদা মু আন,Comments,Facebook,oh your dead face,women/girls,100,Bully
তুই অলে হম বেয়াক্কল মিলে আক্কল সারা নিজে গম অলে পররে হদেও গম লাগে,Comments,Facebook,you are such a stupid woman calling others stupid that doesn't suit you,women/girls,60,Bully
বাঙাল হিওে ললে,Comments,Facebook,why did you marry a bengali man,women/girls,50,Neutral
হের মরা দারু মাজ্জে,Comments,Facebook,He gave you poison,women/girls,50,Neutral
তুই মুরিবে দ বেস নবাজিবি,Comments,Facebook,"you will die,you will not live long",women/girls,50,Neutral
তলেন্দি ইয়ান গম সোমে নদুজ,Comments,Facebook,why don't you kiss the bottom lines of him,women/girls,100,Bully
মগদার মাগিবু,Comments,Facebook,this dead bitch,women/girls,100,Bully
মাগি হলে মাগি তুই জাত মাগি,Comments,Facebook,you are bitch by community,women/girls,100,Bully
শেয়ার গুরি দু পোস্ট আন সে লহে পেইজ ফলো গুরি দু ,Posts,Facebook,share this post as well as follow my page,all,0,Not Bully
আম হোরবো #আদিবাসী_চিদোল অই,Posts,Facebook,mango salad with indegeneous fish paste(chidol in chakma),food,0,Not Bully
চাকমা হদা দ হংগে। ধন্যবাদ এক্কান পরামর্শ দিবাত্তে।,Comments,Facebook,"I am talking in chakma language, thanks for your advice",all,0,Not Bully
দাগমগুন!!!,Comments,Facebook,these dead women,women/girls,100,Bully
মাঘী ব্যকুন একহয়ন,Comments,Facebook,All of the bitches have gathered ,women/girls,100,Bully
ইগুন দ্ সামান্য দেশী নাক চেবেদা মিলে তারারে গুলিও মারা নপরে বানা নল্লো দেগেলেও আদামরা।,Comments,Facebook,"these are the country's flat nosed (referring to chakma women) women whom we don't have to shoot, they are scared of only showing the gun",women/girls,60,Bully
সিজি বেন্নি মাদান বেক্কুনুরে,Posts,Facebook,Good morning everyone,all,0,Not Bully
এদিক্কি অদ ম পেইজ উ হুজি অলুং উন আরো বেশ উৎসাহ পেলুং উন দেশ-জাদর হদা হবার।,Posts,Facebook,If I got this type of response then I would be encouraged to talk about my country and community,all,0,Not Bully
মামিয়ারে আটকাপুরিবো। তারে আটকে নপারিলে আরো বালোক্কুন মিলে বরবাদ নেজেবো।,Comments,Facebook,we have to stop Mamiya. If not then many other girls will become like her,all,0,Not Bully
ও দা সে মাগিগূনরে এক্কানা আনিনিএ বড় বড় গাচ্ছৈ গূদে দোগি,Comments,Facebook,Brother bring those bitches here and beat them with big tree branches,all,50,Neutral
"অয় অয় ভেই,টেঙা লোভ দ উপজাতিগুনে",Comments,Facebook,Yes brother our community people are so greedy,community,60,Bully
মগদাবী মামিয়ারে ওজা ভরেদো না ভেইলক,Comments,Facebook,teach this bitch Mamiya a big lesson brothers,women/girls,50,Neutral
সে পাওয়ার আনি পান্নেদা চিয়ানি অলদে তলে দি পাওয়ার,Comments,Facebook,they get those power from their bottom(referring to sex),women/girls,80,Bully
ভেইলক দেরী ন গুরিনেই বড় বৈদ্যলোই দাগুনি দো না।,Comments,Facebook,fix them by calling a leech as soon as possible,women/girls,50,Neutral
তোমা দীগিনালা মিলেউন বেশ মাগিদে,Comments,Facebook,your most of the girls from dighinala are call girls,women/girls,100,Bully
বাপ মায় প্রশয় দিলে সেনজান অন্দে সৈ মিলেউন!,Comments,Facebook,girls  become like this when they get indulgence from their parents,women/girls,50,Neutral
মধুমতী হি বাঙাল লুয়েদে নাহি,Comments,Facebook,did Modhumoti marry a bengali guy,women/girls,0,Not Bully
মামিয়া মাগী। মুও তা লাইভ সেলে মর ও রাগ উদি ,Comments,Facebook,Mamiya is a call girl. I also get angry when I see her live videos,women/girls,100,Bully
সেই হাঙি মিলেবো সবিবো এক্কা লায়েবত দেগা না দা,Comments,Facebook,show that call girl's face in the live brother,women/girls,100,Bully
